Measurement Name :,20221026_SDR641_Plate7,,Generated On :,"26/10/2022, 11:12:21",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"26/10/2022, 10:33:12",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"26/10/2022, 11:07:20",,,,,,O2_cal0 [¡],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,Adjustment at ,27, ¡C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [¡C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [[%] Air Saturation],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,46.59,46.57,46.59,47.07,46.45,46.37,46.64,46.65,46.51,47.16,46.8,46.68,46.33,46.53,46.53,46.52,46.41,46.88,46.39,47.34,46.65,46.99,46.61,49.22,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
26.10.22 10:33:14,0.03,93.82,90.22,89.62,94.42,96.5,83.86,109.24,92.32,86.02,103.33,88.8,90.4,97.55,104.46,98.97,89.12,93.93,102.77,103.22,89.51,96.73,101.4,92.2,132.02,,27,965,36,27.57,
26.10.22 10:33:29,0.28,90.92,92.24,81.66,99.22,94.48,93.67,88.27,87.82,83.63,98.27,90.13,99.4,94.97,93.28,96.48,91.41,100.88,115.2,109.61,97.43,90.28,108.79,95.42,124.48,,27,965,36,27.36,
26.10.22 10:33:44,0.53,84.91,112.09,103.59,100.47,92.76,96.39,103.91,98.06,98.82,102.7,107.53,106.82,109.11,100.89,110.66,104.01,99.13,114.4,108.11,94.56,102.4,107.21,106.01,130.46,,27,965,36,27.22,
26.10.22 10:33:59,0.78,89.76,85.93,98.81,82.47,81.79,83.17,85.83,93.49,101.03,102.7,83.99,106.36,80.23,89.97,88.83,91.27,86.16,91.68,87.72,88.57,94.66,105.15,91.33,112.09,,27,965,36,27.16,
26.10.22 10:34:14,1.03,94.84,100.15,87.47,92.57,90.48,89.99,103.3,94.96,92.43,101.42,103.51,94.94,113.31,91.55,94.87,83.47,96.52,117.29,104.99,100.32,100.15,107.36,100,127.57,,27,965,36,27.15,
26.10.22 10:34:29,1.28,88.47,82.4,86.61,108.07,83.31,97.83,107.1,97.47,76.98,113.2,85.88,108.97,99.42,84.58,97.79,94.73,96.23,105.4,97.82,115.15,107.26,103.43,95.86,119.23,,27,965,36,27.15,
26.10.22 10:34:44,1.53,96.6,96.9,94.26,102.83,90.33,106.02,100.6,96.73,98.38,118.82,100.61,111.6,104.96,105.51,94.87,107.16,110.23,98.62,106.03,88.73,89.41,110.55,94.39,125.58,,27,965,36,27.16,
26.10.22 10:34:59,1.78,87.33,97.34,88.47,83.22,86.8,90.27,103.91,86.67,82.37,103.65,89.24,111.91,90.45,99.56,89.97,83.89,95.22,98.17,106.92,93.29,91.15,105.15,93.81,127.35,,27,965,36,27.18,
26.10.22 10:35:14,2.03,97.63,103.58,83.35,72.66,97.52,104.39,99.4,86.96,90.56,108.64,97.73,97.46,98.27,90.4,99.85,98.09,102.49,104.63,103.96,89.83,91.3,106.73,90.46,126.91,,27,965,36,27.24,
26.10.22 10:35:29,2.28,90.48,111.01,83.92,93.8,84.15,102.92,99.7,89.12,88.71,91.11,89.54,102.86,97.98,99.26,89.68,91.99,84.49,94.98,97.68,90.61,100.45,117.82,98.07,109.52,,27,965,36,27.26,965B6-(E1);
26.10.22 10:35:44,2.53,83.92,101.04,90.05,101.1,103.98,105.72,94.23,102.1,97.36,98.11,97.58,107.59,88.77,98.53,84.3,89.55,104.41,114.72,101.02,94.08,104.06,97.84,95.86,126.24,,27,965,36,27.29,
26.10.22 10:35:59,2.78,94.26,101.04,94.99,90.13,104.28,97.25,104.66,91.01,83.49,106.54,100,93.03,100.58,94.58,92.7,97.06,97.38,102.77,100,96.31,100.15,113.92,90.32,138.31,,27,965,36,27.33,
26.10.22 10:36:14,3.03,105.7,100.89,106.3,93.8,99.85,93.53,96.88,99.25,96.34,108.47,94.58,94.06,105.4,107.62,100,90.12,95.8,113.12,101.75,85.46,100.15,119.78,89.6,118.79,,27,965,36,27.36,
26.10.22 10:36:29,3.28,90.2,100.45,100.89,99.53,101.17,101.16,105.42,94.37,99.71,97.8,95.18,99.1,112.4,101.78,94.44,95.46,106.79,108.22,98.26,94.24,92.61,108.95,91.33,128.46,,27,965,36,27.39,
26.10.22 10:36:44,3.53,99.11,108.87,102.09,96.58,100,108.25,100.3,100.9,107.31,111.73,95.47,100.45,102.76,99.85,99.12,94.59,90.8,116.64,105.73,100.32,103.31,117.98,105.25,117.49,,27,965,36,27.43,
26.10.22 10:36:59,3.78,90.92,102.23,108.28,100.94,95.49,98.69,98.51,91.59,102.07,104.77,88.21,105.44,98.12,95.31,104.31,93.57,101.02,112.96,95.66,83,105.58,106.73,98.66,122.94,,27,965,36,27.47,
26.10.22 10:37:14,4.03,96.89,108.57,102.39,105.04,107.26,97.97,106.79,96.43,96.77,99.05,91.01,94.5,112.86,102.67,99.7,95.31,106.04,115.36,103.51,97.11,101.65,108.16,97.04,124.26,,27,965,36,27.51,
26.10.22 10:37:29,4.28,98.52,98.82,96.6,94.88,101.76,107.2,94.52,92.03,95.75,92.19,89.24,104.23,98.12,96.04,101.33,93.57,109.63,111.69,103.66,97.11,95.99,117,95.86,124.04,,27,965,36,27.53,
26.10.22 10:37:44,4.53,98.22,105.53,98.67,98.28,99.85,105.13,105.73,89.99,105.65,105.57,92.49,100.45,104.96,97.65,96.91,106.86,100.88,115.2,111.72,101.62,115.15,121.43,98.96,134.03,,27,965,36,27.55,
26.10.22 10:37:59,4.78,99.11,90.36,97.93,95.49,101.62,102.33,102.4,96.88,86.3,106.22,99.85,96.12,97.12,110.81,99.7,93.14,105.3,103.85,103.51,100.32,99.7,113.12,94.24,104.84,,27,965,36,27.61,
